conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,case_folding,normalized_text,skor,label
1906940166075449508,2025-04-01T05:22:19.000Z,95,"Selain jadi orang asik, kalau genre anda masokis, peganglah kerjaan2 vital organisasi (kerjaan yang ada hubungannya sama biro/divisi yg banyak anggaran) kalau anda penempatan UPT (Keuangan, monev organisasi, dll) biasanya (sebelum efisiensi) minim 3x perjadin",1906940166075449508,,,in,,6,3,5,https://x.com/umbimuda/status/1906940166075449508,1285891655963295744,umbimuda,Selain jadi orang asik kalau genre anda masokis peganglah kerjaan vital organisasi kerjaan yang ada hubungannya sama biro divisi yg banyak anggaran kalau anda penempatan UPT Keuangan monev organisasi dll biasanya sebelum efisiensi minim x perjadin,selain jadi orang asik kalau genre anda masokis peganglah kerjaan vital organisasi kerjaan yang ada hubungannya sama biro divisi yg banyak anggaran kalau anda penempatan upt keuangan monev organisasi dll biasanya sebelum efisiensi minim x perjadin,selain jadi orang seru kalau genre anda masokis peganglah kerjaan vital organisasi kerjaan yang ada hubungannya sama biro divisi yang banyak anggaran kalau anda penempatan kantor keuangan monev organisasi lain biasanya sebelum efisiensi kurang sangat perjadin,-30,negatif
1906923812660371582,2025-04-01T04:20:06.000Z,2,"@LexMarteg Emang pernah dibahas ?

Kayak nya langsung diputuskan dan disahkan deh tuh

Di hotel palingan refreshing doang sambil efisiensi anggaran biar nggak sisa banyak² dan tak jadi mubazir

#CabutUUTNI 
#TolakRUUPolri #TolakRUUKejaksaa",1906924507555848668,,LexMarteg,in,,0,1,0,https://x.com/dee__1209/status/1906924507555848668,1417137620186845191,dee__1209,Emang pernah dibahas Kayak nya langsung diputuskan dan disahkan deh tuh Di hotel palingan refreshing doang sambil efisiensi anggaran biar nggak sisa banyak dan tak jadi mubazir,emang pernah dibahas kayak nya langsung diputuskan dan disahkan deh tuh di hotel palingan refreshing doang sambil efisiensi anggaran biar nggak sisa banyak dan tak jadi mubazir,memang pernah dibahas seperti nya langsung diputuskan dan disahkan sudah itu di hotel palingan refreshing saja sambil efisiensi anggaran biar tidak sisa banyak dan tidak jadi mubazir,-28,negatif
1905836464266760436,2025-04-01T02:40:24.000Z,5,@DivHumas_Polri katanya efisiensi anggaran? kok pasang ads? padahal cuma ucapan lebaran.. kek ada yang mau aja diucapin lebaran sama polisi wkwkwk,1906899417992724616,,DivHumas_Polri,in,,0,0,0,https://x.com/ID131022/status/1906899417992724616,758915641,ID131022,katanya efisiensi anggaran kok pasang ads padahal cuma ucapan lebaran kek ada yang mau aja diucapin lebaran sama polisi wkwkwk,katanya efisiensi anggaran kok pasang ads padahal cuma ucapan lebaran kek ada yang mau aja diucapin lebaran sama polisi wkwkwk,katanya efisiensi anggaran kok pasang iklan padahal cuma ucapan lebaran seperti ada yang mau saja diucapin lebaran sama polisi tertawa,-5,negatif
1906587842526204243,2025-03-31T23:54:04.000Z,5,"@hida_suryo @grok @dialogg05 @PartaiSocmed Karena efisiensi anggaran, jadi sampah koruptor kayak lo gak bisa nyedot duit anggaran pemerintah lagi.",1906857560512381186,,hida_suryo,in,,0,1,0,https://x.com/progresionalis/status/1906857560512381186,994097948412657664,progresionalis,Karena efisiensi anggaran jadi sampah koruptor kayak lo gak bisa nyedot duit anggaran pemerintah lagi,karena efisiensi anggaran jadi sampah koruptor kayak lo gak bisa nyedot duit anggaran pemerintah lagi,karena efisiensi anggaran jadi sampah koruptor seperti lo tidak bisa nyedot uang anggaran pemerintah lagi,-18,negatif
1906736873394880889,2025-03-31T15:54:30.000Z,2,"[BERITA] | Efisiensi Anggaran Pendidikan: Antara Penghematan Cerdas atau Ancaman Kualitas

Oleh: Nadia Amalia Wibowo

Ketika efisiensi anggaran bikin kampus makin 'hemat', lalu apa kabar kualitas?🤷‍♂️

Baca selengkapnya di:
https://t.co/YFwRFrjbG7 https://t.co/nMe5EvHRzF",1906736873394880889,https://pbs.twimg.com/media/GnYWfUbbkAAfs-f.jpg,,in,,0,0,1,https://x.com/LPMSketsa/status/1906736873394880889,555939417,LPMSketsa,BERITA Efisiensi Anggaran Pendidikan Antara Penghematan Cerdas atau Ancaman Kualitas Oleh Nadia Amalia Wibowo Ketika efisiensi anggaran bikin kampus makin hemat lalu apa kabar kualitas Baca selengkapnya di,berita efisiensi anggaran pendidikan antara penghematan cerdas atau ancaman kualitas oleh nadia amalia wibowo ketika efisiensi anggaran bikin kampus makin hemat lalu apa kabar kualitas baca selengkapnya di,berita efisiensi anggaran pendidikan antara penghematan cerdas atau ancaman kualitas oleh nadia amalia wibowo ketika efisiensi anggaran buat kampus makin hemat lalu apa kabar kualitas baca selengkapnya di,-3,negatif
1906659933770412405,2025-03-31T10:58:41.000Z,2,@idextratime THR Berkurang karena efisiensi anggaran,1906662427334222235,,idextratime,in,,0,0,0,https://x.com/Hans_3610/status/1906662427334222235,998589481589526528,Hans_3610,THR Berkurang karena efisiensi anggaran,thr berkurang karena efisiensi anggaran,thr berkurang karena efisiensi anggaran,-6,negatif
1906661435733688681,2025-03-31T10:54:44.000Z,3,"Summary lebaran tahun ini :
Dulur dulur akeh seng sambat perkoro pengangkatan PNS, harga sembako melonjak, dan efisiensi anggaran pegawai sipil.
Sesukses dan sesogeh opo samean seng ngengkel nganggep negoro iki baik-baik saja ?",1906661435733688681,,,in,,1,0,3,https://x.com/bajradprawira/status/1906661435733688681,1115957290597638146,bajradprawira,Summary lebaran tahun ini Dulur dulur akeh seng sambat perkoro pengangkatan PNS harga sembako melonjak dan efisiensi anggaran pegawai sipil Sesukses dan sesogeh opo samean seng ngengkel nganggep negoro iki baik baik saja,summary lebaran tahun ini dulur dulur akeh seng sambat perkoro pengangkatan pns harga sembako melonjak dan efisiensi anggaran pegawai sipil sesukses dan sesogeh opo samean seng ngengkel nganggep negoro iki baik baik saja,summary lebaran tahun ini dulur dulur banyak yang penting ngeluh perkoro pengangkatan pns harga sembako melonjak dan efisiensi anggaran pegawai sipil sesukses dan sesogeh apa samean yang penting ngengkel nganggep negoro ini baik baik saja,-30,negatif
1906591981548994645,2025-03-31T06:18:45.000Z,0,"Efisiensi Anggaran, Pemkot Jogja Tiadakan Open House Lebaran https://t.co/sbpJi6MDWm https://t.co/vk3N6hC8HE",1906591981548994645,https://pbs.twimg.com/media/GnWTTZ1WsAAMIyX.jpg,,in,,0,0,0,https://x.com/Harian_Jogja/status/1906591981548994645,118371948,Harian_Jogja,Efisiensi Anggaran Pemkot Jogja Tiadakan Open House Lebaran,efisiensi anggaran pemkot jogja tiadakan open house lebaran,efisiensi anggaran pemkot jogja tiadakan buka house lebaran,-3,negatif
1906525451176268041,2025-03-31T01:54:23.000Z,6,"di sepertiga malam terakhir gweh selama 10 malam terakhir ramadhan, gak pernah luput doain nih rezim cepetan runtuh. 

uang pajak kita dipake buat bayar tender buzzer 100M bgst. kemenhan gak kena efisiensi anggaran tp anggaran pendidikan dipangkas sampe 8T anj",1906525451176268041,,,in,,0,0,0,https://x.com/mutiazzhr/status/1906525451176268041,1127319512594898944,mutiazzhr,di sepertiga malam terakhir gweh selama malam terakhir ramadhan gak pernah luput doain nih rezim cepetan runtuh uang pajak kita dipake buat bayar tender buzzer M bgst kemenhan gak kena efisiensi anggaran tp anggaran pendidikan dipangkas sampe T anj,di sepertiga malam terakhir gweh selama malam terakhir ramadhan gak pernah luput doain nih rezim cepetan runtuh uang pajak kita dipake buat bayar tender buzzer m bgst kemenhan gak kena efisiensi anggaran tp anggaran pendidikan dipangkas sampe t anj,di sepertiga malam terakhir gweh selama malam terakhir ramadhan tidak pernah luput doain nih rezim lekas runtuh uang pajak kita pakai buat bayar tender buzzer m bangsat kemenhan tidak kena efisiensi anggaran tetapi anggaran pendidikan dipangkas sampai t anjing,-42,negatif
1906476267144458295,2025-03-30T22:38:57.000Z,0,"Sahira Hotel Paledang &amp; Pakuan Pamit, Manajemen: Terdampak Efisiensi Anggaran https://t.co/hSlZ3CkoBX",1906476267144458295,,,in,,0,0,0,https://x.com/detikTravel/status/1906476267144458295,240113510,detikTravel,Sahira Hotel Paledang amp Pakuan Pamit Manajemen Terdampak Efisiensi Anggaran,sahira hotel paledang amp pakuan pamit manajemen terdampak efisiensi anggaran,sahira hotel paledang amp pakuan pamit manajemen terdampak efisiensi anggaran,3,positif
1906341716359250391,2025-03-30T13:44:17.000Z,0,"Sahira Butik Paledang dan Pakuan Tutup, Tumbal Efisiensi Anggaran Pemerintah? https://t.co/9IkuGgb2pT",1906341716359250391,,,in,,0,0,0,https://x.com/detikTravel/status/1906341716359250391,240113510,detikTravel,Sahira Butik Paledang dan Pakuan Tutup Tumbal Efisiensi Anggaran Pemerintah,sahira butik paledang dan pakuan tutup tumbal efisiensi anggaran pemerintah,sahira butik paledang dan pakuan tutup tumbal efisiensi anggaran pemerintah,-2,negatif
